,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5517471,3742539,HL112850,12/29/2004 02:00:00 PM,073XX S CRANDON AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,333,3.0,7.0,43.0,06,1192815.0,1856814.0,2004,04/15/2016 08:55:02 AM,41.762064717,-87.568865843,"(41.762064717, -87.568865843)"
5517474,3742550,HK826157,12/24/2004 10:30:00 AM,009XX W WILSON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2313,19.0,46.0,3.0,06,1169228.0,1930736.0,2004,04/15/2016 08:55:02 AM,41.965455324,-87.653168121,"(41.965455324, -87.653168121)"
5517476,3742554,HL111150,12/17/2004 12:00:00 PM,032XX N KEATING AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1731,17.0,30.0,15.0,06,1144259.0,1921056.0,2004,04/15/2016 08:55:02 AM,41.939399772,-87.745218483,"(41.939399772, -87.745218483)"
5517477,3742556,HL111974,01/07/2004 05:00:00 PM,066XX S PULASKI RD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),False,False,833,8.0,13.0,65.0,07,1150844.0,1860296.0,2004,04/15/2016 08:55:02 AM,41.772540473,-87.722604906,"(41.772540473, -87.722604906)"
5517478,3742557,HL111306,12/30/2004 11:00:00 AM,020XX N LARAMIE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,2515,25.0,37.0,19.0,06,1141390.0,1913102.0,2004,04/15/2016 08:55:02 AM,41.917626704,-87.755959854,"(41.917626704, -87.755959854)"
5517490,3742577,HL111273,12/31/2004 01:30:00 PM,114XX S MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PRIVATE, BUILDING",False,False,531,5.0,9.0,49.0,05,1178870.0,1828930.0,2004,04/15/2016 08:55:02 AM,41.68587617,-87.620821332,"(41.68587617, -87.620821332)"
5517500,3742607,HK837959,12/31/2004 04:30:00 AM,005XX E 72ND ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,323,3.0,6.0,69.0,26,1180905.0,1857392.0,2004,04/15/2016 08:55:02 AM,41.763932967,-87.612499194,"(41.763932967, -87.612499194)"
5517503,3742610,HL113177,12/22/2004 12:00:00 PM,025XX S RIDGEWAY AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1013,10.0,22.0,30.0,06,1151777.0,1886915.0,2004,04/15/2016 08:55:02 AM,41.84556855,-87.718486649,"(41.84556855, -87.718486649)"
5517505,3742614,HL113079,12/22/2004 12:00:00 PM,016XX W CORNELIA AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1923,19.0,32.0,6.0,06,1164924.0,1923307.0,2004,04/15/2016 08:55:02 AM,41.945162478,-87.669204596,"(41.945162478, -87.669204596)"
5517514,3742628,HL113201,07/01/2004 12:00:00 PM,028XX S KOSTNER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1031,10.0,22.0,30.0,06,1147521.0,1884746.0,2004,04/15/2016 08:55:02 AM,41.839699076,-87.734161441,"(41.839699076, -87.734161441)"
