,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5542694,3783677,HK821275,12/21/2004 03:30:00 PM,010XX W WINONA ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,2024,20.0,46.0,3.0,18,1168575.0,1934309.0,2004,04/15/2016 08:55:02 AM,41.975273943,-87.655465099,"(41.975273943, -87.655465099)"
5542700,3783687,HK789276,12/04/2004 12:45:00 PM,013XX N HOMAN AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,True,False,1422,14.0,26.0,23.0,26,1153458.0,1908525.0,2004,04/15/2016 08:55:02 AM,41.904835501,-87.711743161,"(41.904835501, -87.711743161)"
5542705,3783696,HK788183,12/03/2004 08:00:00 PM,039XX W ARMITAGE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,2535,25.0,30.0,20.0,16,1149954.0,1913003.0,2004,04/15/2016 08:55:02 AM,41.917192515,-87.72449773,"(41.917192515, -87.72449773)"
5542708,3783700,HK828674,12/26/2004 11:30:00 AM,070XX S ARTESIAN AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,832,8.0,15.0,66.0,18,1161257.0,1857944.0,2004,04/15/2016 08:55:02 AM,41.765876993,-87.684498502,"(41.765876993, -87.684498502)"
5542714,3783714,HK789300,12/04/2004 01:11:50 PM,013XX W 110TH PL,2027,NARCOTICS,POSS: CRACK,STREET,True,False,2234,22.0,34.0,75.0,18,1169302.0,1831488.0,2004,04/15/2016 08:55:02 AM,41.693107563,-87.655774107,"(41.693107563, -87.655774107)"
5542724,3783735,HK828748,12/26/2004 01:50:00 PM,039XX W CONGRESS PKWY,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1132,11.0,24.0,26.0,18,1150176.0,1897401.0,2004,04/15/2016 08:55:02 AM,41.874374696,-87.724089138,"(41.874374696, -87.724089138)"
5542734,3783760,HK821834,12/21/2004 08:30:00 PM,003XX S KILDARE AVE,2022,NARCOTICS,POSS: COCAINE,STREET,True,False,1132,11.0,28.0,26.0,18,1147772.0,1898257.0,2004,04/15/2016 08:55:02 AM,41.876770146,-87.732893646,"(41.876770146, -87.732893646)"
5542760,3783829,HK828739,12/26/2004 01:55:00 PM,048XX W FULTON ST,2027,NARCOTICS,POSS: CRACK,STREET,True,False,1532,15.0,28.0,25.0,18,1143903.0,1901492.0,2004,04/15/2016 08:55:02 AM,41.885720773,-87.747018429,"(41.885720773, -87.747018429)"
5542771,3783851,HK798905,12/09/2004 11:26:00 AM,069XX S BISHOP ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,True,False,734,7.0,17.0,67.0,18,1167865.0,1858701.0,2004,04/15/2016 08:55:02 AM,41.767814962,-87.660256163,"(41.767814962, -87.660256163)"
5542772,3783852,HK828791,12/26/2004 02:30:00 PM,008XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1524,15.0,37.0,25.0,18,1141539.0,1905000.0,2004,04/15/2016 08:55:02 AM,41.895391144,-87.755612897,"(41.895391144, -87.755612897)"
5542773,3783853,HK831012,12/27/2004 07:00:00 PM,024XX N CLYBOURN AVE,1505,PROSTITUTION,CALL OPERATION,RESIDENCE,True,False,1931,19.0,32.0,7.0,16,1164524.0,1916414.0,2004,04/15/2016 08:55:02 AM,41.9262562,-87.670870615,"(41.9262562, -87.670870615)"
5542787,3783876,HK828859,12/26/2004 02:30:00 PM,049XX W GLADYS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1533,15.0,24.0,25.0,18,1143587.0,1897889.0,2004,04/15/2016 08:55:02 AM,41.87583962,-87.748269058,"(41.87583962, -87.748269058)"
5542792,3783891,HK819828,12/20/2004 07:10:00 PM,0000X E HUBBARD ST,1505,PROSTITUTION,CALL OPERATION,HOTEL/MOTEL,True,False,1834,18.0,42.0,8.0,16,1176559.0,1903327.0,2004,04/15/2016 08:55:02 AM,41.890081244,-87.62704405,"(41.890081244, -87.62704405)"
5542795,3783896,HK789871,12/04/2004 06:25:00 PM,051XX S STATE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,232,2.0,3.0,40.0,18,1177141.0,1871102.0,2004,04/15/2016 08:55:02 AM,41.801640347,-87.625881586,"(41.801640347, -87.625881586)"
5542801,3783908,HK828778,12/26/2004 02:00:00 PM,011XX N RIDGEWAY AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1112,11.0,27.0,23.0,18,1151170.0,1907349.0,2004,04/15/2016 08:55:02 AM,41.90165363,-87.7201786,"(41.90165363, -87.7201786)"
5542802,3783912,HK821262,12/21/2004 09:10:00 AM,043XX S PAULINA ST,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,True,False,914,9.0,12.0,61.0,18,1165735.0,1875943.0,2004,04/15/2016 08:55:02 AM,41.815174602,-87.667574171,"(41.815174602, -87.667574171)"
5542807,3783921,HK789966,12/04/2004 07:39:38 PM,024XX S ALBANY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1033,10.0,12.0,30.0,18,1156078.0,1887723.0,2004,04/15/2016 08:55:02 AM,41.847700214,-87.702680535,"(41.847700214, -87.702680535)"
5542809,3783927,HK828970,12/26/2004 04:10:00 PM,048XX W GLADYS AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1533,15.0,24.0,25.0,18,1144159.0,1897903.0,2004,04/15/2016 08:55:02 AM,41.875867319,-87.746168504,"(41.875867319, -87.746168504)"
5542815,3783940,HK820897,12/20/2004 10:05:00 AM,004XX W PERSHING RD,1670,GAMBLING,GAME/AMUSEMENT DEVICE,RESTAURANT,True,False,925,9.0,11.0,60.0,19,1173808.0,1879063.0,2004,04/15/2016 08:55:02 AM,41.82356072,-87.637868624,"(41.82356072, -87.637868624)"
5542818,3783949,HK790076,12/04/2004 08:19:38 PM,024XX S SPAULDING AVE,2022,NARCOTICS,POSS: COCAINE,APARTMENT,True,False,1024,10.0,22.0,30.0,18,1154746.0,1887697.0,2004,04/15/2016 08:55:02 AM,41.847655605,-87.707569729,"(41.847655605, -87.707569729)"
5542820,3783952,HK789120,12/04/2004 10:30:00 AM,058XX S MARYLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2133,2.0,5.0,41.0,18,1182887.0,1866374.0,2004,04/15/2016 08:55:02 AM,41.788534607,-87.604955949,"(41.788534607, -87.604955949)"
5542827,3783970,HK455174,06/25/2004 09:17:00 PM,023XX E 68TH ST,0460,BATTERY,SIMPLE,OTHER,False,False,331,3.0,5.0,43.0,08B,1192746.0,1860328.0,2004,04/15/2016 08:55:02 AM,41.77170908,-87.569004284,"(41.77170908, -87.569004284)"
5542830,3783973,HK798864,12/09/2004 10:50:00 AM,045XX W FIFTH AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,True,False,1131,11.0,24.0,26.0,18,1146244.0,1895538.0,2004,04/15/2016 08:55:02 AM,41.869338077,-87.738573222,"(41.869338077, -87.738573222)"
5542832,3783975,HK801877,12/10/2004 07:15:00 PM,027XX S DEARBORN ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,CHA PARKING LOT/GROUNDS,True,False,2113,1.0,3.0,35.0,18,1176315.0,1886573.0,2004,04/15/2016 08:55:02 AM,41.844112707,-87.628445336,"(41.844112707, -87.628445336)"
5542835,3783980,HK465001,06/30/2004 01:41:00 PM,062XX S VERNON AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,313,3.0,20.0,42.0,08B,1180322.0,1863789.0,2004,04/15/2016 08:55:02 AM,41.781500367,-87.614440016,"(41.781500367, -87.614440016)"
5542836,3783984,HK820899,12/21/2004 11:40:00 AM,006XX W PERSHING RD,1670,GAMBLING,GAME/AMUSEMENT DEVICE,RESTAURANT,True,False,925,9.0,11.0,60.0,19,1172855.0,1879040.0,2004,04/15/2016 08:55:02 AM,41.823518721,-87.641365495,"(41.823518721, -87.641365495)"
5542840,3783991,HK459339,06/27/2004 10:49:00 PM,002XX E 69TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,322,3.0,6.0,69.0,08B,1178924.0,1858987.0,2004,04/15/2016 08:55:02 AM,41.768355144,-87.619711453,"(41.768355144, -87.619711453)"
5542842,3783999,HK463717,06/29/2004 09:44:00 PM,072XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,323,3.0,6.0,69.0,14,1182806.0,1857441.0,2004,04/15/2016 08:55:02 AM,41.764023501,-87.605530144,"(41.764023501, -87.605530144)"
5542843,3784003,HK801560,12/10/2004 05:03:54 PM,009XX W 70TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,True,False,733,7.0,17.0,68.0,18,1171325.0,1858422.0,2004,04/15/2016 08:55:02 AM,41.766974351,-87.647581868,"(41.766974351, -87.647581868)"
5542845,3784006,HK442387,06/19/2004 10:31:00 PM,024XX E 72ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,334,3.0,7.0,43.0,14,1193992.0,1857783.0,2004,04/15/2016 08:55:02 AM,41.76469494,-87.564520335,"(41.76469494, -87.564520335)"
5542852,3784022,HK821223,12/21/2004 03:15:00 PM,037XX W THOMAS ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,True,False,1112,11.0,27.0,23.0,18,1151380.0,1907078.0,2004,04/15/2016 08:55:02 AM,41.900905858,-87.719414364,"(41.900905858, -87.719414364)"
5542854,3784029,HK801267,12/10/2004 03:40:00 PM,082XX S COLFAX AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,True,False,423,4.0,7.0,46.0,18,1194941.0,1850742.0,2004,04/15/2016 08:55:02 AM,41.745350572,-87.561273656,"(41.745350572, -87.561273656)"
5542866,3784049,HK467638,07/01/2004 05:51:39 PM,066XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,OTHER,False,False,321,3.0,5.0,42.0,08A,1188012.0,1861466.0,2004,04/15/2016 08:55:02 AM,41.774945985,-87.586321063,"(41.774945985, -87.586321063)"
5542869,3784058,HK801069,12/10/2004 01:55:00 PM,011XX W WILSON AVE,2027,NARCOTICS,POSS: CRACK,"SCHOOL, PUBLIC, GROUNDS",True,False,2311,19.0,46.0,3.0,18,1167612.0,1930696.0,2004,04/15/2016 08:55:02 AM,41.96538061,-87.659110921,"(41.96538061, -87.659110921)"
5542871,3784060,HK790070,12/04/2004 09:03:59 PM,0000X W 24TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,True,False,134,1.0,3.0,33.0,18,1176265.0,1888434.0,2004,04/15/2016 08:55:02 AM,41.849220554,-87.62857278,"(41.849220554, -87.62857278)"
5542873,3784064,HK820781,12/21/2004 11:30:00 AM,045XX W GLADYS AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,True,False,1131,11.0,24.0,26.0,18,1146239.0,1897971.0,2004,04/15/2016 08:55:02 AM,41.876014619,-87.738529682,"(41.876014619, -87.738529682)"
5542881,3784083,HL153714,06/01/2002 12:00:00 PM,074XX S PHILLIPS AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,334,3.0,7.0,43.0,06,1193940.0,1855916.0,2002,04/15/2016 08:55:02 AM,41.759573027,-87.564772066,"(41.759573027, -87.564772066)"
5542890,3784109,HK828610,12/26/2004 12:00:00 PM,063XX S VERNON AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,312,3.0,20.0,42.0,18,1180339.0,1863111.0,2004,04/15/2016 08:55:02 AM,41.779639479,-87.614398473,"(41.779639479, -87.614398473)"
5542891,3784110,HK801289,12/10/2004 03:00:00 PM,066XX S DREXEL AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,321,3.0,5.0,42.0,26,1183365.0,1861275.0,2004,04/15/2016 08:55:02 AM,41.774531367,-87.603362034,"(41.774531367, -87.603362034)"
5542893,3784112,HK790091,12/04/2004 09:16:36 PM,008XX N CAMBRIDGE AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,CHA APARTMENT,True,False,1823,18.0,27.0,8.0,18,1172522.0,1906024.0,2004,04/15/2016 08:55:02 AM,41.897572198,-87.641789773,"(41.897572198, -87.641789773)"
5542901,3784128,HK801705,12/10/2004 06:42:27 PM,028XX W MONROE ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1124,11.0,2.0,27.0,18,1157381.0,1899558.0,2004,04/15/2016 08:55:02 AM,41.880150332,-87.697576821,"(41.880150332, -87.697576821)"
5542903,3784131,HK828765,12/26/2004 01:45:00 PM,041XX W VAN BUREN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1132,11.0,24.0,26.0,18,1148959.0,1897704.0,2004,04/15/2016 08:55:02 AM,41.87522978,-87.728549617,"(41.87522978, -87.728549617)"
5542904,3784132,HK820915,12/21/2004 12:46:00 PM,053XX W OHIO ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,True,False,1523,15.0,37.0,25.0,18,1140777.0,1903457.0,2004,04/15/2016 08:55:02 AM,41.891171011,-87.758449547,"(41.891171011, -87.758449547)"
5542906,3784134,HK790097,12/04/2004 09:21:43 PM,050XX S ASHLAND AVE,2022,NARCOTICS,POSS: COCAINE,STREET,True,False,931,9.0,16.0,61.0,18,1166524.0,1871398.0,2004,04/15/2016 08:55:02 AM,41.802685798,-87.664809681,"(41.802685798, -87.664809681)"
5542909,3784141,HK831828,12/28/2004 11:25:00 AM,074XX S DORCHESTER AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,True,False,324,3.0,5.0,43.0,18,1186830.0,1855927.0,2004,04/15/2016 08:55:02 AM,41.75977457,-87.59082933,"(41.75977457, -87.59082933)"
5542913,3784148,HK798910,12/09/2004 09:55:00 AM,003XX S KILBOURN AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,True,False,1131,11.0,24.0,26.0,18,1146442.0,1898110.0,2004,04/15/2016 08:55:02 AM,41.876392188,-87.737780789,"(41.876392188, -87.737780789)"
5542915,3784151,HK790237,12/04/2004 10:35:00 PM,012XX S WASHTENAW AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,1023,10.0,28.0,29.0,18,1158554.0,1894524.0,2004,04/15/2016 08:55:02 AM,41.86631262,-87.693407497,"(41.86631262, -87.693407497)"
5542917,3784153,HK828591,12/26/2004 11:55:37 AM,109XX S RACINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2234,22.0,34.0,75.0,18,1170282.0,1832054.0,2004,04/15/2016 08:55:02 AM,41.694639548,-87.65216974,"(41.694639548, -87.65216974)"
5542922,3784167,HK801851,12/10/2004 07:20:00 PM,047XX W ERIE ST,2027,NARCOTICS,POSS: CRACK,ALLEY,True,False,1111,11.0,28.0,25.0,18,1144664.0,1903893.0,2004,04/15/2016 08:55:02 AM,41.892295094,-87.744163312,"(41.892295094, -87.744163312)"
5542925,3784177,HK790282,12/04/2004 11:05:44 PM,0000X N WESTERN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),True,False,1332,12.0,2.0,28.0,18,1160400.0,1900403.0,2004,04/15/2016 08:55:02 AM,41.882407184,-87.686468002,"(41.882407184, -87.686468002)"
5542935,3784194,HK790283,12/04/2004 11:38:58 PM,103XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2232,22.0,34.0,73.0,18,1172801.0,1836382.0,2004,04/15/2016 08:55:02 AM,41.706461203,-87.642819913,"(41.706461203, -87.642819913)"
5542937,3784196,HK820953,12/21/2004 12:55:00 PM,077XX S BURNHAM AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,VEHICLE NON-COMMERCIAL,True,False,421,4.0,7.0,43.0,18,1196068.0,1854089.0,2004,04/15/2016 08:55:02 AM,41.754507172,-87.557033572,"(41.754507172, -87.557033572)"
5542938,3784200,HK828803,12/26/2004 12:59:46 PM,087XX S CARPENTER ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,2222,22.0,21.0,71.0,18,1170841.0,1846878.0,2004,04/15/2016 08:55:02 AM,41.735306669,-87.649692131,"(41.735306669, -87.649692131)"
5542941,3784212,HK828563,12/26/2004 11:15:00 AM,054XX S PAULINA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,932,9.0,16.0,61.0,18,1165937.0,1868584.0,2004,04/15/2016 08:55:02 AM,41.794976356,-87.667042466,"(41.794976356, -87.667042466)"
5542956,3784233,HK790303,12/05/2004 12:06:44 AM,033XX W CRYSTAL ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,True,False,1422,14.0,26.0,23.0,18,1153889.0,1908122.0,2004,04/15/2016 08:55:02 AM,41.903721052,-87.710170715,"(41.903721052, -87.710170715)"
5542957,3784234,HK799034,12/09/2004 12:25:00 PM,056XX W FULTON ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,1512,15.0,29.0,25.0,18,1138855.0,1901454.0,2004,04/15/2016 08:55:02 AM,41.885709644,-87.7655569,"(41.885709644, -87.7655569)"
5542965,3784260,HK820951,12/21/2004 12:50:00 PM,025XX W 70TH ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,STREET,True,False,832,8.0,18.0,66.0,18,1160472.0,1858148.0,2004,04/15/2016 08:55:02 AM,41.766453012,-87.687370197,"(41.766453012, -87.687370197)"
5542966,3784264,HK828530,12/26/2004 09:56:00 AM,062XX S DR MARTIN LUTHER KING JR DR,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,313,3.0,20.0,42.0,18,1179995.0,1863630.0,2004,04/15/2016 08:55:02 AM,41.781071552,-87.615643728,"(41.781071552, -87.615643728)"
5542968,3784269,HK790319,12/05/2004 12:17:48 AM,044XX W MONROE ST,2027,NARCOTICS,POSS: CRACK,STREET,True,False,1113,11.0,28.0,26.0,18,1146822.0,1899294.0,2004,04/15/2016 08:55:02 AM,41.87963398,-87.736355302,"(41.87963398, -87.736355302)"
5542972,3784282,HL152863,09/26/2004 10:00:00 AM,088XX S EAST END AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,412,4.0,8.0,48.0,06,1189095.0,1846736.0,2004,04/15/2016 08:55:02 AM,41.734499658,-87.582822054,"(41.734499658, -87.582822054)"
5542976,3784289,HK828025,12/25/2004 09:50:00 PM,013XX S KEELER AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1011,10.0,24.0,29.0,18,1148601.0,1893380.0,2004,04/15/2016 08:55:02 AM,41.863371127,-87.729975652,"(41.863371127, -87.729975652)"
5542977,3784291,HK790352,12/05/2004 12:30:00 AM,010XX N HARDING AVE,2025,NARCOTICS,POSS: HALLUCINOGENS,SIDEWALK,True,False,1112,11.0,27.0,23.0,18,1149863.0,1906735.0,2004,04/15/2016 08:55:02 AM,41.899994286,-87.724995392,"(41.899994286, -87.724995392)"
5542984,3784309,HK821550,12/21/2004 05:55:53 PM,013XX N CALIFORNIA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1423,14.0,26.0,24.0,18,1157490.0,1908607.0,2004,04/15/2016 08:55:02 AM,41.904979389,-87.696930137,"(41.904979389, -87.696930137)"
5542987,3784319,HK790375,12/05/2004 12:58:25 AM,009XX N HAMLIN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1112,11.0,27.0,23.0,18,1150880.0,1906033.0,2004,04/15/2016 08:55:02 AM,41.898048078,-87.721278297,"(41.898048078, -87.721278297)"
5542989,3784321,HK828977,12/26/2004 04:00:00 PM,007XX S CALIFORNIA AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,True,False,1135,11.0,2.0,27.0,26,1157823.0,1896455.0,2004,04/15/2016 08:55:02 AM,41.8716264,-87.696038444,"(41.8716264, -87.696038444)"
5542990,3784325,HK799038,12/09/2004 11:31:00 AM,112XX S INDIANA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,531,5.0,9.0,49.0,18,1179574.0,1830420.0,2004,04/15/2016 08:55:02 AM,41.689948937,-87.61819887,"(41.689948937, -87.61819887)"
5542994,3784338,HL153810,12/24/2004 12:00:00 PM,0000X E 104TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,512,5.0,9.0,49.0,06,1178671.0,1836034.0,2004,04/15/2016 08:55:02 AM,41.705375069,-87.621334849,"(41.705375069, -87.621334849)"
5542995,3784339,HK790391,12/05/2004 01:05:01 AM,053XX W CHICAGO AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,ALLEY,True,False,1524,15.0,37.0,25.0,18,1140422.0,1904813.0,2004,04/15/2016 08:55:02 AM,41.894898559,-87.759720016,"(41.894898559, -87.759720016)"
5543001,3784370,HK810379,12/15/2004 04:00:15 PM,056XX S BISHOP ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,True,False,713,7.0,16.0,67.0,18,1167628.0,1867319.0,2004,04/15/2016 08:55:02 AM,41.791468914,-87.660877849,"(41.791468914, -87.660877849)"
5543003,3784373,HK829404,12/26/2004 09:16:19 PM,062XX S ASHLAND AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,True,False,714,7.0,16.0,67.0,18,1166738.0,1863437.0,2004,04/15/2016 08:55:02 AM,41.780835284,-87.664252074,"(41.780835284, -87.664252074)"
5543012,3784398,HK829384,12/26/2004 09:15:00 PM,0000X S LEAVITT ST,2027,NARCOTICS,POSS: CRACK,CONSTRUCTION SITE,True,False,1211,12.0,2.0,28.0,18,1161749.0,1899864.0,2004,04/15/2016 08:55:02 AM,41.880900112,-87.681529489,"(41.880900112, -87.681529489)"
5543016,3784409,HK800097,12/09/2004 10:30:00 PM,027XX S STATE ST,2027,NARCOTICS,POSS: CRACK,CHA PARKING LOT/GROUNDS,True,False,2113,1.0,3.0,35.0,18,1176730.0,1886544.0,2004,04/15/2016 08:55:02 AM,41.844023772,-87.626923253,"(41.844023772, -87.626923253)"
5543023,3784423,HK829638,12/27/2004 01:03:00 AM,019XX S HAMLIN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,True,False,1014,10.0,24.0,29.0,18,1151362.0,1890155.0,2004,04/15/2016 08:55:02 AM,41.85446765,-87.719924735,"(41.85446765, -87.719924735)"
5543024,3784427,HK822751,12/22/2004 12:10:00 PM,039XX W WILCOX ST,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,1122,11.0,28.0,26.0,18,1150236.0,1899048.0,2004,04/15/2016 08:55:02 AM,41.87889308,-87.7238259,"(41.87889308, -87.7238259)"
5543028,3784431,HK831971,12/28/2004 12:15:00 PM,070XX S CRANDON AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,True,False,331,3.0,5.0,43.0,18,1192536.0,1858908.0,2004,04/15/2016 08:55:02 AM,41.767817613,-87.569820269,"(41.767817613, -87.569820269)"
5543034,3784449,HK821739,12/21/2004 07:56:39 PM,132XX S GREENWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,True,False,533,5.0,9.0,54.0,18,1186054.0,1817663.0,2004,04/15/2016 08:55:02 AM,41.654791911,-87.59487592,"(41.654791911, -87.59487592)"
5543035,3784450,HK800142,12/09/2004 11:05:00 PM,112XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,522,5.0,34.0,49.0,18,1176936.0,1830594.0,2004,04/15/2016 08:55:02 AM,41.690486111,-87.627851381,"(41.690486111, -87.627851381)"
5543036,3784454,HK829057,12/26/2004 04:45:00 PM,042XX W GLADYS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1132,11.0,24.0,26.0,18,1148281.0,1898020.0,2004,04/15/2016 08:55:02 AM,41.876110004,-87.731030844,"(41.876110004, -87.731030844)"
5543046,3784480,HK800933,12/10/2004 12:45:00 PM,033XX N OZARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,1631,16.0,36.0,17.0,18,1123833.0,1921309.0,2004,04/15/2016 08:55:02 AM,41.940454031,-87.820285787,"(41.940454031, -87.820285787)"
5543048,3784483,HL145930,11/14/2004 12:01:00 AM,057XX S INDIANA AVE,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,False,False,233,2.0,20.0,40.0,06,1178577.0,1867056.0,2004,04/15/2016 08:55:02 AM,41.790505192,-87.620738269,"(41.790505192, -87.620738269)"
5543050,3784485,HK829406,12/26/2004 06:48:00 PM,039XX W FLOURNOY ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1132,11.0,24.0,26.0,18,1150304.0,1896741.0,2004,04/15/2016 08:55:02 AM,41.872561087,-87.723636388,"(41.872561087, -87.723636388)"
5543051,3784487,HK790401,12/05/2004 12:27:55 AM,041XX W MAYPOLE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1114,11.0,28.0,26.0,18,1148853.0,1901134.0,2004,04/15/2016 08:55:02 AM,41.884644137,-87.728850109,"(41.884644137, -87.728850109)"
5543052,3784492,HK799138,12/09/2004 11:30:00 AM,064XX S KARLOV AVE,2022,NARCOTICS,POSS: COCAINE,RESIDENCE,True,False,813,8.0,13.0,65.0,18,1150144.0,1861632.0,2004,04/15/2016 08:55:02 AM,41.776220285,-87.725136309,"(41.776220285, -87.725136309)"
5543056,3784498,HK800022,12/09/2004 09:40:00 PM,074XX N DAMEN AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,2424,24.0,49.0,1.0,18,1161660.0,1949551.0,2004,04/15/2016 08:55:02 AM,42.017245808,-87.680466532,"(42.017245808, -87.680466532)"
5543068,3784518,HK790416,12/05/2004 01:30:00 AM,029XX N DAMEN AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,1913,19.0,1.0,5.0,16,1162510.0,1919355.0,2004,04/15/2016 08:55:02 AM,41.934368945,-87.678188525,"(41.934368945, -87.678188525)"
5543074,3784541,HK790429,12/05/2004 01:51:48 AM,062XX S WOODLAWN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,314,3.0,20.0,42.0,18,1185286.0,1863972.0,2004,04/15/2016 08:55:02 AM,41.78188721,-87.596235311,"(41.78188721, -87.596235311)"
5543077,3784551,HK829466,12/26/2004 10:30:00 PM,011XX N LARRABEE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,True,False,1823,18.0,27.0,8.0,18,1172122.0,1908040.0,2004,04/15/2016 08:55:02 AM,41.903113054,-87.643199348,"(41.903113054, -87.643199348)"
